Date;Mask_Inside;Mask_Outside;Hard_Lockdown;Partial_lockdown;Partial Restrictions
04/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
05/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
06/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
07/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
08/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
09/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
10/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
11/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
12/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
13/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
14/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
15/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
16/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
17/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
18/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
19/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
20/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
21/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
22/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
23/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
24/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
25/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
26/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
27/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
28/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
29/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
30/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
31/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
01/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
02/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
03/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
04/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
05/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
06/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
07/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
08/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
09/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
10/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
11/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
12/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
13/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
14/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
15/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
16/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
17/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
18/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
19/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
20/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
21/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
22/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
23/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
24/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
25/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
26/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
27/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
28/02/2021;TRUE;TRUE;FALSE;FALSE;TRUE
01/03/2021;TRUE;TRUE;FALSE;FALSE;TRUE
02/03/2021;TRUE;TRUE;FALSE;FALSE;TRUE
03/03/2021;TRUE;TRUE;FALSE;FALSE;TRUE
04/03/2021;TRUE;TRUE;FALSE;FALSE;TRUE
05/03/2021;TRUE;TRUE;FALSE;FALSE;TRUE
